area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Hong Kong (China)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0000070775,8.222892856427557e-08
"Hong Kong (China)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,purse seine,Other,0.0000070775,8.222892856427557e-08
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,0.0156055648,22.623918633521022
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,artisanal fishing gear,Other,0.0000064304,5.6960746976239996e-08
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,small scale gillnets,Other,0.0000078106,6.918646711179e-08
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,small scale pots or traps,Other,0.0000040465,3.5843593209559994e-08
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,small scale lines,Other,0.0000074655,6.613003929241e-08
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,artisanal fishing gear,Direct human consumption,0.0128479552,18.62611806457495
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,0.0080848111,11.720825909434586
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,0.0149161629,21.624469215426657
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,small scale gillnets,Fishmeal and fish oil,0.0000078106,6.918646711179e-08
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,artisanal fishing gear,Fishmeal and fish oil,0.0000064304,5.6960746976239996e-08
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,small scale pots or traps,Fishmeal and fish oil,0.0000040465,3.5843593209559994e-08
"Andaman & Nicobar Isl. (India)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","India",Artisanal,Landings,Unreported,small scale lines,Fishmeal and fish oil,0.0000074655,6.613003929241e-08
"Indonesia (Eastern)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Japan",Industrial,Discards,Unreported,longline,,26.1372131682
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Industrial,Discards,Unreported,unknown class,,70.3043000000
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Artisanal,Discards,Unreported,small scale lines,,0.9622076517
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Artisanal,Discards,Unreported,small scale pots or traps,,0.0926497067
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Artisanal,Discards,Unreported,small scale gillnets,,0.8799656718
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Artisanal,Discards,Unreported,small scale seine nets,,0.5519942175
